Date,Open,High,Low,Close,Adj Close,Volume
2013-10-02,23.049999,25.650000,22.610001,25.010000,25.010000,15051500
2013-10-03,25.100000,26.440001,24.559999,24.860001,24.860001,1125900
2013-10-04,24.900000,26.459999,24.510000,25.889999,25.889999,808600
2013-10-07,26.160000,27.900000,25.910000,26.770000,26.770000,575900
2013-10-08,26.900000,27.000000,25.379999,25.900000,25.900000,363500
2013-10-09,25.639999,26.100000,25.139999,25.520000,25.520000,410100
2013-10-10,26.040001,26.629999,24.520000,25.980000,25.980000,394300
2013-10-11,25.980000,26.770000,25.510000,26.680000,26.680000,159700
2013-10-14,26.400000,27.719999,26.000000,27.530001,27.530001,241100
2013-10-15,27.400000,27.820000,26.780001,27.709999,27.709999,158900
2013-10-16,28.000000,28.000000,27.080000,27.260000,27.260000,169700
2013-10-17,27.370001,27.670000,26.690001,26.820000,26.820000,143000
2013-10-18,26.850000,27.000000,26.240000,26.430000,26.430000,362900
2013-10-21,26.000000,27.250000,26.000000,26.410000,26.410000,85200
2013-10-22,26.000000,26.850000,25.680000,26.250000,26.250000,215800
2013-10-23,25.980000,26.840000,25.549999,25.750000,25.750000,182400
2013-10-24,25.750000,26.010000,25.520000,26.010000,26.010000,86200
2013-10-25,25.860001,26.520000,25.860001,26.430000,26.430000,116700
2013-10-28,26.270000,26.840000,25.870001,26.750000,26.750000,121100
2013-10-29,26.650000,27.180000,26.100000,26.860001,26.860001,94500
2013-10-30,26.500000,27.100000,26.160000,26.870001,26.870001,63000
2013-10-31,27.059999,27.059999,26.469999,26.790001,26.790001,79900
2013-11-01,26.930000,27.260000,26.540001,27.160000,27.160000,82600
2013-11-04,27.180000,27.990000,27.000000,27.160000,27.160000,135700
2013-11-05,27.530001,27.530001,26.870001,27.070000,27.070000,175300
2013-11-06,27.180000,27.719999,26.910000,26.950001,26.950001,262400
2013-11-07,27.030001,27.600000,26.780001,26.920000,26.920000,241600
2013-11-08,27.040001,27.420000,26.150000,27.170000,27.170000,84700
2013-11-11,27.410000,27.950001,26.610001,27.049999,27.049999,434900
2013-11-12,26.959999,29.190001,26.959999,27.750000,27.750000,294000
2013-11-13,27.780001,29.389999,27.070000,28.940001,28.940001,576800
2013-11-14,29.520000,30.219999,29.000000,29.840000,29.840000,429600
2013-11-15,30.320000,30.360001,29.500000,30.180000,30.180000,147600
2013-11-18,30.370001,30.530001,29.240000,29.450001,29.450001,247000
2013-11-19,29.270000,29.990000,29.040001,29.790001,29.790001,46000
2013-11-20,29.770000,30.590000,29.250000,29.900000,29.900000,420900
2013-11-21,30.139999,30.770000,29.370001,29.370001,29.370001,148500
2013-11-22,29.049999,29.090000,27.600000,28.820000,28.820000,1450300
2013-11-25,28.799999,28.799999,28.049999,28.480000,28.480000,396700
2013-11-26,28.450001,28.790001,28.240000,28.440001,28.440001,81800
2013-11-27,28.049999,28.620001,28.049999,28.420000,28.420000,170600
2013-11-29,28.299999,28.650000,28.299999,28.440001,28.440001,34600
2013-12-02,28.250000,29.410000,28.250000,29.059999,29.059999,420300
2013-12-03,29.040001,29.510000,28.410000,28.780001,28.780001,403800
2013-12-04,29.150000,29.150000,27.809999,28.190001,28.190001,447400
2013-12-05,28.100000,28.740000,27.990000,28.059999,28.059999,226000
2013-12-06,28.320000,28.950001,27.850000,28.020000,28.020000,344500
2013-12-09,28.200001,28.379999,27.930000,28.100000,28.100000,518900
2013-12-10,24.219999,26.190001,21.540001,25.920000,25.920000,3095800
2013-12-11,26.180000,28.200001,25.969999,28.070000,28.070000,904100
2013-12-12,28.160000,28.620001,27.180000,27.290001,27.290001,416400
2013-12-13,27.350000,27.690001,26.469999,27.340000,27.340000,424800
2013-12-16,27.200001,29.000000,26.799999,28.930000,28.930000,359900
2013-12-17,28.760000,28.969999,27.879999,28.090000,28.090000,629900
2013-12-18,27.820000,29.120001,27.760000,28.559999,28.559999,449200
2013-12-19,28.320000,29.780001,28.320000,29.719999,29.719999,360000
2013-12-20,29.459999,30.480000,29.219999,30.370001,30.370001,1990700
2013-12-23,30.299999,31.270000,30.000000,30.930000,30.930000,390800
2013-12-24,30.799999,31.389999,30.070000,31.320000,31.320000,171000
2013-12-26,31.299999,32.029999,30.820000,30.969999,30.969999,168900
2013-12-27,30.889999,31.629999,30.000000,31.400000,31.400000,277100
2013-12-30,31.290001,31.889999,31.040001,31.340000,31.340000,350600
2013-12-31,31.510000,32.439999,31.330000,32.000000,32.000000,147500
2014-01-02,32.000000,32.750000,31.500000,32.500000,32.500000,220000
2014-01-03,32.610001,32.980000,31.660000,32.060001,32.060001,251600
2014-01-06,32.130001,32.250000,31.440001,31.559999,31.559999,418300
2014-01-07,31.580000,32.049999,30.549999,30.629999,30.629999,396000
2014-01-08,30.660000,30.850000,30.020000,30.379999,30.379999,248800
2014-01-09,30.510000,30.680000,29.870001,29.900000,29.900000,348000
2014-01-10,29.980000,30.240000,29.250000,29.350000,29.350000,215100
2014-01-13,29.240000,30.450001,29.200001,29.549999,29.549999,413600
2014-01-14,29.740000,30.000000,29.620001,29.790001,29.790001,328800
2014-01-15,29.940001,30.150000,29.510000,29.809999,29.809999,576000
2014-01-16,29.809999,29.930000,29.410000,29.450001,29.450001,185000
2014-01-17,29.360001,29.410000,28.700001,28.780001,28.780001,254700
2014-01-21,28.770000,29.950001,28.170000,28.440001,28.440001,352800
